[2025-05-07 21:00:01] [INFO    ] discord.client: logging in using static token
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'joined_at': '2025-05-07T14:35:52.100179+00:00', 'member_count': 2, 'verification_level': 0, 'large': False, 'moderator_reporting': None, 'profile': None, 'premium_tier': 0, 'nsfw_level': 0, 'max_stage_video_channel_users': 50, 'hub_type': None, 'unavailable': False, 'incidents_data': None, 'afk_timeout': 300, 'voice_states': [], 'id': '1369683987509022731', 'afk_channel_id': None, 'discovery_splash': None, 'embedded_activities': [], 'name': 'Drsnooty', 'splash': None, 'roles': [{'version': 1746628510223, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1369683987509022731', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746630279981, 'unicode_emoji': None, 'tags': {'bot_id': '1369681032931971143'}, 'position': 3, 'permissions': '563242280021056', 'name': 'talking_bot', 'mentionable': False, 'managed': True, 'id': '1369684163346567181', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746630279973, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1369691250990518413', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1746630280368, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'writter', 'mentionable': False, 'managed': False, 'id': '1369691324139311187', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 7419530}, 'color': 7419530}], 'banner': None, 'guild_scheduled_events': [], 'lazy': True, 'system_channel_flags': 0, 'application_command_counts': {}, 'safety_alerts_channel_id': None, 'threads': [], 'public_updates_channel_id': None, 'preferred_locale': 'en-US', 'presences': [], 'features': [], 'soundboard_sounds': [], 'activity_instances': [], 'rules_channel_id': None, 'mfa_level': 0, 'description': None, 'stickers': [], 'premium_subscription_count': 0, 'premium_progress_bar_enabled': False, 'region': 'deprecated', 'max_video_channel_users': 25, 'icon': None, 'nsfw': False, 'system_channel_id': '1369683988003946638', 'max_members': 500000, 'inventory_settings': None, 'default_message_notifications': 0, 'premium_features': None, 'home_header': None, 'owner_id': '745279163702968381', 'application_id': None, 'channels': [{'version': 1746628510244, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1369683988003946637', 'flags': 0}, {'version': 1746628510249, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1369683988003946637', 'name': 'general', 'last_message_id': '1369696358704873593', 'id': '1369683988003946638', 'flags': 0}, {'version': 1746628510255, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1369683988003946637', 'name': 'clips-and-highlights', 'last_message_id': None, 'id': '1369683988003946639', 'flags': 0}, {'version': 1746628510258, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1369683988003946640', 'flags': 0}, {'version': 1746628510264, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1369683988003946640', 'name': 'Lobby', 'last_message_id': None, 'id': '1369683988003946641', 'flags': 0, 'bitrate': 64000}, {'version': 1746628510296, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1369683988003946640', 'name': 'Gaming', 'last_message_id': None, 'id': '1369683988003946642', 'flags': 0, 'bitrate': 64000}], 'emojis': [], 'members': [{'user': {'username': 'talking_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1369681032931971143', 'global_name': None, 'display_name': None, 'discriminator': '2210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1369684163346567181'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:52.100179+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stage_instances': [], 'explicit_content_filter': 0, 'vanity_url_code': None, 'version': 1746630238172, 'latest_onboarding_question_id': None}}
[2025-05-07 21:00:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'f1f6dc1e825b71e43810557ee2755b64', 'members': [{'user': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'display_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'talking_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1369681032931971143', 'global_name': None, 'display_name': None, 'discriminator': '2210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1369684163346567181'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:52.100179+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1369683987509022731', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-07 21:00:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:05] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1369683987509022731.
[2025-05-07 21:00:06] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-07 21:00:06] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-07 21:00:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '745279163702968381', 'timestamp': 1746631813, 'member': {'user': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'display_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1369683988003946638', 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:13] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-07 21:00:13] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-07 21:00:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '745279163702968381', 'timestamp': 1746631821, 'member': {'user': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'display_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1369683988003946638', 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:22] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:22] [DEBUG   ] discord.client: Dispatching event typing
[2025-05-07 21:00:22] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-05-07 21:00:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-07T15:30:23.133000+00:00', 'pinned': False, 'nonce': '1369697881564381184', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1369697883292696606', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll are we going game', 'components': [], 'channel_type': 0, 'channel_id': '1369683988003946638', 'author': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'attachments': [], 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:23] [DEBUG   ] discord.client: Dispatching event message
[2025-05-07 21:00:23] [DEBUG   ] discord.client: Dispatching event command
[2025-05-07 21:00:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-07T15:30:23.593000+00:00', 'pinned': False, 'nonce': '16558934684101767809', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1369684163346567181'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:52.100179+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1369697885221814332', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'are we going game', 'content_scan_version': 0, 'color': 3066993}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1369683988003946638', 'author': {'username': 'talking_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1369681032931971143', 'global_name': None, 'discriminator': '2210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:23] [DEBUG   ] discord.client: Dispatching event message
[2025-05-07 21:00:23] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1369683988003946638/messages with {"embeds":[{"flags":0,"color":3066993,"type":"rich","description":"are we going game","title":"New Poll"}],"content":null,"components":[],"nonce":"16558934684101767809","enforce_nonce":true,"tts":false} has returned 200
[2025-05-07 21:00:23] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-07 21:00:23] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1369683988003946638/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'are we going game', 'color': 3066993, 'content_scan_version': 0}], 'timestamp': '2025-05-07T15:30:23.593000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1369697885221814332', 'channel_id': '1369683988003946638', 'author': {'id': '1369681032931971143', 'username': 'talking_bot', 'avatar': None, 'discriminator': '2210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16558934684101767809'}
[2025-05-07 21:00:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1369681032931971143', 'type': 0, 'message_id': '1369697885221814332', 'message_author_id': '1369681032931971143', 'member': {'user': {'username': 'talking_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1369681032931971143', 'global_name': None, 'display_name': None, 'discriminator': '2210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1369684163346567181'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:52.100179+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:24] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-05-07 21:00:24] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-05-07 21:00:24] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1369683988003946638/messages/1369697885221814332/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-05-07 21:00:24] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-05-07 21:00:24] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-05-07 21:00:24] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1369683988003946638/messages/1369697885221814332/reactions/%F0%9F%91%8D/@me has received 
[2025-05-07 21:00:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 9, 'op': 0, 'd': {'user_id': '1369681032931971143', 'type': 0, 'message_id': '1369697885221814332', 'message_author_id': '1369681032931971143', 'member': {'user': {'username': 'talking_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1369681032931971143', 'global_name': None, 'display_name': None, 'discriminator': '2210', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1369684163346567181'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:52.100179+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:25] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-05-07 21:00:25] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-05-07 21:00:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1369683988003946638/messages/1369697885221814332/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-05-07 21:00:25] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-05-07 21:00:25] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1369683988003946638/messages/1369697885221814332/reactions/%F0%9F%91%8E/@me has received 
[2025-05-07 21:00:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-07 21:00:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 10, 'op': 0, 'd': {'user_id': '745279163702968381', 'type': 0, 'message_id': '1369697885221814332', 'message_author_id': '1369681032931971143', 'member': {'user': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'display_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-05-07 21:00:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 11, 'op': 0, 'd': {'user_id': '745279163702968381', 'type': 0, 'message_id': '1369697885221814332', 'message_author_id': '1369681032931971143', 'member': {'user': {'username': 'theekshana4180', 'public_flags': 0, 'primary_guild': None, 'id': '745279163702968381', 'global_name': 'theekshana', 'display_name': 'theekshana', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3'}, 'roles': ['1369691250990518413'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-07T14:35:10.156000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-05-07 21:00:28] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-05-07 21:00:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 12, 'op': 0, 'd': {'user_id': '745279163702968381', 'type': 0, 'message_id': '1369697885221814332', 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2025-05-07 21:00:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 13, 'op': 0, 'd': {'user_id': '745279163702968381', 'type': 0, 'message_id': '1369697885221814332', 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1369683988003946638', 'burst': False, 'guild_id': '1369683987509022731'}}
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2025-05-07 21:00:30] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2025-05-07 21:00:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-05-07 21:00:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-07 21:01:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 13.
[2025-05-07 21:01:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-07 21:01:55] [DEBUG   ] discord.gateway: Received WSMessage(type=<WSMsgType.CLOSED: 257>, data=None, extra=None)
[2025-05-07 21:01:55] [DEBUG   ] discord.gateway: Websocket closed with 1006, attempting a reconnect.
[2025-05-07 21:01:55] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2025-05-07 21:01:55] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-05-07 21:01:55] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-d.discord.gg
[2025-05-07 21:01:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-khvm",{"micros":0.0}]']}}
[2025-05-07 21:01:55] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2025-05-07 21:01:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-07 21:01:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'RESUMED', 's': 14, 'op': 0, 'd': {'_trace': ['["gateway-prd-us-east1-d-khvm",{"micros":7434,"calls":["id_created",{"micros":0,"calls":[]},"session_lookup_time",{"micros":5683,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-150",{"micros":27}]}]']}}
[2025-05-07 21:01:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:01:56] [INFO    ] discord.gateway: Shard ID None has successfully RESUMED session d705d194a11daa9867238b12e561ba47.
[2025-05-07 21:01:56] [DEBUG   ] discord.client: Dispatching event resumed
[2025-05-07 21:02:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 14.
